,membership.A,membership.B,membership.C,membership.D,membership.E,membership.F
membership.A,1.0,1.0,4.5599654569987495e-05,1.5615846666185473e-08,0.17631350699455278,1.0
membership.B,1.0,1.0,2.935062732086908e-10,4.797840016775062e-16,1.0,1.0
membership.C,4.5599654569987495e-05,2.935062732086908e-10,1.0,1.0,1.4881093877393735e-11,1.5433360854998497e-08
membership.D,1.5615846666185473e-08,4.797840016775062e-16,1.0,1.0,1.6587692748014482e-16,1.8507477542860023e-12
membership.E,0.17631350699455278,1.0,1.4881093877393735e-11,1.6587692748014482e-16,1.0,1.0
membership.F,1.0,1.0,1.5433360854998497e-08,1.8507477542860023e-12,1.0,1.0
